id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1067;HOGAR;5;36520;TARJETA
V002;2026-09-02;P1067;VESTUARIO;2;45967;TRANSFERENCIA
V003;2026-09-02;P5651;ALIMENTOS;9;107943;TARJETA
V004;2026-09-04;P9751;HOGAR;8;34933;EFECTIVO
V005;2026-09-05;P6620;HOGAR;4;157110;TRANSFERENCIA
V006;2026-09-02;P9848;HOGAR;5;120505;TRANSFERENCIA
V007;2026-09-06;P4980;ALIMENTOS;6;198633;EFECTIVO
V008;2026-09-04;P7775;TECNOLOGIA;8;168461;TRANSFERENCIA
V009;2026-09-07;P6576;TECNOLOGIA;6;59631;TRANSFERENCIA
V010;2026-09-03;P4560;TECNOLOGIA;9;60955;TRANSFERENCIA
V011;2026-09-05;P9994;TECNOLOGIA;1;abc;TARJETA
V012;2026-09-03;P9998;JUGUETES;2;1500;TARJETA
