id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1624;HOGAR;4;13151;TARJETA
V002;2026-09-02;P1624;TECNOLOGIA;5;26571;TRANSFERENCIA
V003;2026-09-03;P9699;VESTUARIO;5;107295;TRANSFERENCIA
V004;2026-09-03;P6067;HOGAR;2;179787;TARJETA
V005;2026-09-04;P9873;HOGAR;10;187350;TARJETA
V006;2026-09-06;P8622;VESTUARIO;7;58459;TARJETA
V007;2026-09-03;P7405;ALIMENTOS;7;15786;TARJETA
V008;2026-09-04;P8839;TECNOLOGIA;9;84706;TRANSFERENCIA
V009;2026-09-07;P8757;HOGAR;10;87601;TARJETA
V010;2026-09-02;P6534;TECNOLOGIA;8;142956;EFECTIVO
