id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1682;VESTUARIO;4;27383;EFECTIVO
V002;2026-09-02;P1682;TECNOLOGIA;3;11926;TRANSFERENCIA
V003;2026-09-04;P7321;ALIMENTOS;5;63894;EFECTIVO
V004;2026-09-03;P8584;ALIMENTOS;1;56703;TRANSFERENCIA
V005;2026-09-06;P7667;TECNOLOGIA;4;16278;TARJETA
V006;2026-09-03;P5471;HOGAR;9;49980;TARJETA
V007;2026-09-05;P4910;HOGAR;1;148249;TRANSFERENCIA
V008;2026-09-04;P6466;TECNOLOGIA;1;100647;EFECTIVO
V009;2026-09-03;P6254;TECNOLOGIA;7;99781;EFECTIVO
V010;2026-09-04;P7607;TECNOLOGIA;1;46395;EFECTIVO
