id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1153;VESTUARIO;4;3311;TARJETA
V002;2026-09-02;P1153;HOGAR;5;49475;TRANSFERENCIA
V003;2026-09-05;P6634;VESTUARIO;10;67219;TARJETA
V004;2026-09-07;P9571;VESTUARIO;4;29881;TRANSFERENCIA
V005;2026-09-07;P4299;HOGAR;8;93644;EFECTIVO
V006;2026-09-04;P8228;ALIMENTOS;6;124728;TARJETA
V007;2026-09-03;P7963;TECNOLOGIA;7;145059;TRANSFERENCIA
V008;2026-09-02;P3920;TECNOLOGIA;3;20000;TARJETA
V009;2026-09-03;P5211;ALIMENTOS;6;26564;EFECTIVO
V010;2026-09-05;P9873;ALIMENTOS;10;57411;EFECTIVO
V011;02-09-2026;P9999;ALIMENTOS;3;1000;EFECTIVO
V012;2026-09-03;P9997;HOGAR;-5;2500;EFECTIVO
V013;2026-09-04;P9996;VESTUARIO;1;3000;CHEQUE
