id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1206;VESTUARIO;3;28942;TARJETA
V002;2026-09-02;P1206;HOGAR;5;32246;TRANSFERENCIA
V003;2026-09-04;P6460;ALIMENTOS;7;101699;TARJETA
V004;2026-09-07;P7743;ALIMENTOS;8;144551;EFECTIVO
V005;2026-09-03;P7597;TECNOLOGIA;6;139940;TRANSFERENCIA
V006;2026-09-05;P3626;TECNOLOGIA;9;46870;TARJETA
V007;2026-09-07;P7586;ALIMENTOS;1;67851;TARJETA
V008;2026-09-02;P8468;HOGAR;2;86041;TARJETA
V009;2026-09-02;P5948;TECNOLOGIA;9;17959;TRANSFERENCIA
V010;2026-09-04;P5763;TECNOLOGIA;5;117256;TARJETA
V011;2026-09-04;P9995;HOGAR;2
V012;2026-09-03;P9998;JUGUETES;2;1500;TARJETA
