id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1763;TECNOLOGIA;2;27711;TARJETA
V002;2026-09-02;P1763;HOGAR;5;29594;EFECTIVO
V003;2026-09-03;P9076;TECNOLOGIA;3;182090;TARJETA
V004;2026-09-05;P7110;ALIMENTOS;5;22543;TARJETA
V005;2026-09-03;P3712;TECNOLOGIA;10;184488;TARJETA
V006;2026-09-06;P8545;TECNOLOGIA;5;186711;TARJETA
V007;2026-09-07;P9720;VESTUARIO;4;163369;EFECTIVO
V008;2026-09-07;P5123;HOGAR;6;31817;EFECTIVO
V009;2026-09-07;P5725;TECNOLOGIA;3;146721;TARJETA
V010;2026-09-02;P6815;ALIMENTOS;8;126527;EFECTIVO
