id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1154;VESTUARIO;2;28197;EFECTIVO
V002;2026-09-02;P1154;HOGAR;4;45850;TARJETA
V003;2026-09-04;P9868;HOGAR;8;188426;EFECTIVO
V004;2026-09-06;P4188;HOGAR;8;121606;TARJETA
V005;2026-09-06;P4065;TECNOLOGIA;2;13898;EFECTIVO
V006;2026-09-05;P4626;HOGAR;9;103025;TRANSFERENCIA
V007;2026-09-06;P8958;TECNOLOGIA;5;101517;TARJETA
V008;2026-09-06;P3277;TECNOLOGIA;8;59485;TARJETA
V009;2026-09-05;P4428;HOGAR;1;18261;EFECTIVO
V010;2026-09-04;P7023;TECNOLOGIA;3;57195;EFECTIVO
V011;2026-09-03;P9997;HOGAR;-5;2500;EFECTIVO
