id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1142;VESTUARIO;1;13659;EFECTIVO
V002;2026-09-02;P1142;ALIMENTOS;5;34215;TRANSFERENCIA
V003;2026-09-07;P5420;VESTUARIO;5;165974;EFECTIVO
V004;2026-09-03;P9594;ALIMENTOS;7;197808;EFECTIVO
V005;2026-09-05;P9733;VESTUARIO;7;160617;EFECTIVO
V006;2026-09-07;P6093;TECNOLOGIA;6;126301;EFECTIVO
V007;2026-09-06;P4284;ALIMENTOS;4;67359;TARJETA
V008;2026-09-06;P3067;TECNOLOGIA;4;161527;TRANSFERENCIA
V009;2026-09-03;P9457;ALIMENTOS;10;60384;TARJETA
V010;2026-09-05;P8172;TECNOLOGIA;6;93108;TARJETA
