id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1237;HOGAR;3;19449;EFECTIVO
V002;2026-09-02;P1237;TECNOLOGIA;3;23333;TRANSFERENCIA
V003;2026-09-03;P6554;TECNOLOGIA;5;135397;TRANSFERENCIA
V004;2026-09-03;P8382;HOGAR;4;148695;TARJETA
V005;2026-09-03;P5170;HOGAR;4;55862;EFECTIVO
V006;2026-09-06;P3061;VESTUARIO;8;42667;TRANSFERENCIA
V007;2026-09-07;P8859;HOGAR;1;175583;TARJETA
V008;2026-09-05;P5182;ALIMENTOS;1;117940;TARJETA
V009;2026-09-03;P5278;ALIMENTOS;4;60102;TARJETA
V010;2026-09-06;P3859;TECNOLOGIA;6;51930;TRANSFERENCIA
