id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1115;HOGAR;5;22351;EFECTIVO
V002;2026-09-02;P1115;TECNOLOGIA;2;7282;TRANSFERENCIA
V003;2026-09-03;P8581;TECNOLOGIA;8;144592;TRANSFERENCIA
V004;2026-09-05;P7580;TECNOLOGIA;9;91870;EFECTIVO
V005;2026-09-05;P5807;VESTUARIO;1;76079;TARJETA
V006;2026-09-06;P4131;HOGAR;5;13130;EFECTIVO
V007;2026-09-05;P9411;TECNOLOGIA;10;146344;TRANSFERENCIA
V008;2026-09-05;P4424;TECNOLOGIA;1;146953;TARJETA
V009;2026-09-03;P6341;VESTUARIO;8;88558;TARJETA
V010;2026-09-05;P3437;HOGAR;1;62300;TARJETA
