id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1869;VESTUARIO;1;44132;EFECTIVO
V002;2026-09-02;P1869;TECNOLOGIA;1;30937;TRANSFERENCIA
V003;2026-09-04;P6168;HOGAR;8;26944;EFECTIVO
V004;2026-09-07;P4592;HOGAR;7;140133;EFECTIVO
V005;2026-09-02;P6836;VESTUARIO;8;189387;TARJETA
V006;2026-09-06;P8343;ALIMENTOS;2;52016;TRANSFERENCIA
V007;2026-09-04;P3140;VESTUARIO;9;89861;TRANSFERENCIA
V008;2026-09-05;P9210;TECNOLOGIA;5;26551;EFECTIVO
V009;2026-09-06;P7546;ALIMENTOS;6;188123;TARJETA
V010;2026-09-02;P7453;VESTUARIO;1;172391;EFECTIVO
V011;02-09-2026;P9999;ALIMENTOS;3;1000;EFECTIVO
V012;2026-09-03;P9998;JUGUETES;2;1500;TARJETA
