id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1167;ALIMENTOS;1;2691;TRANSFERENCIA
V002;2026-09-02;P1167;HOGAR;1;47502;TARJETA
V003;2026-09-06;P7537;VESTUARIO;5;145711;TRANSFERENCIA
V004;2026-09-05;P5341;HOGAR;4;50434;TARJETA
V005;2026-09-05;P4314;VESTUARIO;6;76994;EFECTIVO
V006;2026-09-06;P5174;HOGAR;5;33029;TRANSFERENCIA
V007;2026-09-05;P8716;TECNOLOGIA;2;43625;EFECTIVO
V008;2026-09-06;P4221;HOGAR;5;179699;TRANSFERENCIA
V009;2026-09-02;P4261;VESTUARIO;10;11018;EFECTIVO
V010;2026-09-05;P5899;ALIMENTOS;9;50350;TRANSFERENCIA
