id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1483;ALIMENTOS;1;19974;EFECTIVO
V002;2026-09-02;P1483;VESTUARIO;1;16590;TRANSFERENCIA
V003;2026-09-07;P9932;VESTUARIO;7;120176;EFECTIVO
V004;2026-09-03;P5345;HOGAR;7;52791;EFECTIVO
V005;2026-09-05;P9788;VESTUARIO;10;63291;TARJETA
V006;2026-09-06;P4988;VESTUARIO;9;129751;EFECTIVO
V007;2026-09-07;P8336;TECNOLOGIA;1;46697;EFECTIVO
V008;2026-09-05;P5530;VESTUARIO;1;12082;TRANSFERENCIA
V009;2026-09-03;P9861;ALIMENTOS;1;48403;EFECTIVO
V010;2026-09-06;P6909;ALIMENTOS;7;142671;TRANSFERENCIA
