id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1921;HOGAR;5;40838;EFECTIVO
V002;2026-09-02;P1921;VESTUARIO;2;7673;TRANSFERENCIA
V003;2026-09-04;P3299;HOGAR;2;39424;TARJETA
V004;2026-09-03;P4324;ALIMENTOS;10;59109;EFECTIVO
V005;2026-09-07;P7286;ALIMENTOS;7;162002;TARJETA
V006;2026-09-02;P6729;HOGAR;7;48216;TARJETA
V007;2026-09-03;P6723;VESTUARIO;8;25760;TARJETA
V008;2026-09-03;P7659;ALIMENTOS;9;4747;TARJETA
V009;2026-09-06;P7480;TECNOLOGIA;3;32950;EFECTIVO
V010;2026-09-06;P5633;VESTUARIO;2;61809;EFECTIVO
