id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1617;ALIMENTOS;3;31703;EFECTIVO
V002;2026-09-02;P1617;HOGAR;4;40898;TARJETA
V003;2026-09-04;P6844;ALIMENTOS;1;100046;TARJETA
V004;2026-09-04;P3104;HOGAR;10;124547;EFECTIVO
V005;2026-09-02;P8463;ALIMENTOS;8;99975;TARJETA
V006;2026-09-03;P5028;ALIMENTOS;4;99892;TRANSFERENCIA
V007;2026-09-05;P8454;TECNOLOGIA;4;135739;EFECTIVO
V008;2026-09-02;P6584;HOGAR;10;115659;TRANSFERENCIA
V009;2026-09-06;P3654;HOGAR;8;89937;EFECTIVO
V010;2026-09-03;P9499;VESTUARIO;7;87212;EFECTIVO
