id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1905;HOGAR;3;5725;EFECTIVO
V002;2026-09-02;P1905;VESTUARIO;3;17348;TARJETA
V003;2026-09-06;P3220;VESTUARIO;2;34481;TRANSFERENCIA
V004;2026-09-02;P3159;VESTUARIO;9;100389;TARJETA
V005;2026-09-05;P3608;VESTUARIO;8;104663;EFECTIVO
V006;2026-09-04;P4424;ALIMENTOS;6;44715;TRANSFERENCIA
V007;2026-09-05;P8304;HOGAR;7;184267;TARJETA
V008;2026-09-03;P3839;TECNOLOGIA;7;58328;TARJETA
V009;2026-09-05;P9715;VESTUARIO;1;61938;EFECTIVO
V010;2026-09-06;P8563;VESTUARIO;7;44282;TARJETA
