id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1903;ALIMENTOS;2;21813;TARJETA
V002;2026-09-02;P1903;TECNOLOGIA;1;7272;EFECTIVO
V003;2026-09-02;P3769;VESTUARIO;7;10804;TRANSFERENCIA
V004;2026-09-03;P8769;ALIMENTOS;8;16236;EFECTIVO
V005;2026-09-06;P3430;TECNOLOGIA;1;138107;EFECTIVO
V006;2026-09-02;P4824;VESTUARIO;1;144527;TRANSFERENCIA
V007;2026-09-02;P4140;HOGAR;5;189120;EFECTIVO
V008;2026-09-03;P3291;VESTUARIO;3;6239;TRANSFERENCIA
V009;2026-09-07;P3112;VESTUARIO;5;113651;TRANSFERENCIA
V010;2026-09-03;P4885;VESTUARIO;10;152583;TRANSFERENCIA
