id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1983;TECNOLOGIA;3;42707;TRANSFERENCIA
V002;2026-09-02;P1983;ALIMENTOS;3;8133;TARJETA
V003;2026-09-05;P5736;HOGAR;5;161799;EFECTIVO
V004;2026-09-04;P4841;HOGAR;5;31255;TRANSFERENCIA
V005;2026-09-07;P7557;HOGAR;2;54234;TARJETA
V006;2026-09-04;P5074;HOGAR;4;34756;TRANSFERENCIA
V007;2026-09-07;P8669;VESTUARIO;7;195232;TARJETA
V008;2026-09-02;P9771;VESTUARIO;4;49580;TRANSFERENCIA
V009;2026-09-03;P6322;HOGAR;10;11734;EFECTIVO
V010;2026-09-05;P9381;VESTUARIO;9;196670;TRANSFERENCIA
