id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1876;TECNOLOGIA;3;30701;TRANSFERENCIA
V002;2026-09-02;P1876;VESTUARIO;2;24077;EFECTIVO
V003;2026-09-07;P7683;ALIMENTOS;2;130413;TRANSFERENCIA
V004;2026-09-03;P8530;TECNOLOGIA;2;48530;EFECTIVO
V005;2026-09-04;P8397;TECNOLOGIA;2;65785;EFECTIVO
V006;2026-09-06;P7698;TECNOLOGIA;7;102780;TARJETA
V007;2026-09-06;P8783;TECNOLOGIA;7;59568;TARJETA
V008;2026-09-05;P6890;VESTUARIO;3;141928;EFECTIVO
V009;2026-09-04;P5028;HOGAR;6;73940;TRANSFERENCIA
V010;2026-09-05;P9293;HOGAR;7;69175;TARJETA
V011;2026-09-04;P9996;VESTUARIO;1;3000;CHEQUE
